COMMENT|CLASS
Satıcı bitti b.yor tarafından çok hızlı kargolandı. Üründe herhangi bir sorun yok şimdilik. Kutulu, açılmamış, aksesuarları tam bir şekilde teslim aldım. Hepsi ekspres kargo ile geldi, arkadaşlar hızlı ve çözüm konusunda çok becerikliler, ayrıca teşekkür ediyorum on numara kargo hizmeti verdiler. |1
Bitti bitiyor a teşekkürler hızlı kargo ve tertemiz telefon|1
teşekkürler.. |1
GELECEK BİZDE BİZDE FİRMASINA HIZLI GÖNDERİ VE GÜZEL PAKETLEMELERİNDEN DOLAYI TEŞEKKÜR EDERİM|1
İnternetten bu kadar yüksek meblağda ilk alışverişim oldu. Hepsiburada aracılığıyla almak güvenilir geldi. Bir de yorumları okuyarak GELECEK BİZDE satıcısından almaya karar verdim. İyi ki almışım kutuda telefonda hiç bir sıkıntı yok. Ben kargo eşliğinde açtım zaten ne olur ne olmaz diye. Telefonu açtığımda da ilk olarak garantisini kontrol ettim ve garanti o an başladı. Ben iphone 6s’ten geçiş yaptım. Şu an için gayet memnunum. Almayı düşünenler varsa bu satıcı öneriyorum. |1
İLK BAŞT ARKADAŞLARLA İNTERNETTEN ALMASAKMI FELAN DİYORDUK SONRA FİYATTA BAYA İYİDİ ALMAYA KARAR VERDİK ÜRÜN GELENE KADAR TEDİRGİNDİM ÇOK HIZLI GELDİ  SABAH KARGOYU GÖRDÜM KUTU GAYET ÇOK GÜZEL AMBALAJLANMIŞTI VE GÜZEL KORUNACAK ŞEKİLDE PAKETLENMİŞ SONRA TELEFONUNUN KUTUSUNUN ARKASINDAKİ IMEİ NUMARASINI  APPLE ARAYARAK SORGULATTIM 2 YIL APPLE GARANTİLİ OLDUĞUNU SÖYLEDİLER SONRA GÖNÜL RAHATLIYLA TELEFONU AÇTIM KULLANMAYA BAŞLADIM GAYET GÜZEL Bİ TELEFON HERKEZE ÖNERRİM KORMADAN ALIN DERİM |1
Bitti bitiyor firması ve hepsiburada'ya teşekkürler sipariş verdiğim ertesi gün içinde hızlı ve sorunsuz şekilde  geldi.|1
Şu an için bir sorun görünmüyor|1
Satıcısı hepsiburada olmayan ürünleri satın alırken korkar ve internette araştırma yaparım. Gelecekbizde yi de aradım buldum. Gökhan beyin cebini buldum. Aradım kaç defa. Saolsun ilgili bi şekilde dinledi cevapladı. Hemen kargoladı. Kargolama ve paketleme de güzel. Telefon orjinal ve garantisi hattı takınca başladı. İphone resmi sitesinde görüntüleyebiliyorsunuz. İsmi almadan önce garip gelse de işini sağlam yaptıkları için iphone alacaksam adres belli... |1
Öncelikle gelecek bizde satıcısına teşekkür ederim. 1 günde kargoyu sorunsuz bir şeklide ulaştırdı. Tlfon orjinal sıfır açılmamış paketinde. Tlfona sim kartı takıp kurulumu yaptıktan sonra seri numarasından tlfonun garantisini sorgulattım garantisi iki yıl ilerisini gösterdi herhangi bir sorun yoktur ürün apple türkiye garantili. İnternetten tlfon almak isteyipte benim gibi terddütte kalanlar mutlaka alsın. Çünkü piyasanın gerçekten altında bir fiyata alıyorsunuz. Satıcının puanına ve yapılan yorumlara bakın ben öyle aldım. O yüzden satıcınında adını verdim. Teşekkürler.|1
Ürün güzel. bittibitiyor adlı satıcıdan aldım. aynı gün kargoladılar.  2 günde ulaştı. orjinal ürün, Apple garantili. henüz kullanmadım. ben aldıktan sonra indirim oldu çok üzgünüm ??|1
Ürünü dün sipariş ettim 23 saatte elime ulaştı.fakat eşime doğum günü hediyesi aldığımdan kurulum yapmadım sorun olmaz inşallah|1
cumbaz iletisim den aldım. 4000 tl lik telefonu havalı poşet vb koruma olmadan baska bir kutuya koyup boslukları desteklemeden kargolamişlar. kargo sirketlerinin ne kadar ozensiz tasima yaptigi ortada. daha ozenli daha hassas kargolama yapilabilir. telefon orjinal ve apple tr garantili sıkıntı yok. ilk 3 sarjini batarya tam bittikten sonra ve uçak modunda yapın. apple çağrı merkezi boyle soyledi ve şu anda 2 gun sarji gidiyor.|1
Teşekkürler Hepsiburada ve gelecek bizde firması. |1
6s den geçtim 7 plusa pişman değilim gerçekten çözünürlük kamera ve şarj açısından gayet başarılı 2017 sen beri ıos kullanıyorum daha önce geçmediğim için pişmanım gerçekten androidle paranızla rezil olacağınıza kesinlikle tercih etmelisiniz 8 plusa o kadar para vermeyin değmez bence 7 plus gayet başarılı ve yeterli|1
ürün bugün elime ulaştı ilk ıphone'um ama zorlanmıyorum beni üzecek bi cihaz olmadığını bildiğimden içim rahat, satıcı belirlenen tarihte ürünü gönderdi fakat paketleme biraz özensiz geldi, tabiki ayrı bir kutunun içine koyulmıştu fakat kutudaki boşluklar köpükle desteklenseydi daha iyi olabilirdi, üründe hiçbir hasar yok eksik yok sıfır bir ürün geldi kendiliğinden garanti süresi başladı ve bunu IPHONE'un resmi sitesinde görebiliyorsunuz.|1
Ürün hızlı ve sorunsuz geldi.|1
Öncelikle internetten ilk defa bu kadar pahalı bir ürün aldım acaba sorun yaşarmıyım diye çok tereddütteydim fakat fiyat olarak piyasadan 500-600 lira aşağısına olunca dayanamadım aldım. GELECEKBİZDE isimli satıcıdan kargo Gaziantep'e 1 günde geldi ürün çok güzel kutulanmıştı. Hattı takınca garantisi başlıyor cihazı anlatmaya gerek yok daha öncede kullandığım telefondu zaten çok severek kullanıyorum ve bu ios işletim sistemini stabilliği sadeliği ve hızına bağımlı oluyorsunuz tamamen kaliteli bir ürün. Bu cihazları kullandıktan sonra android cihazların bazı yerlerdeki küçük takılmaları yüklenmeleri bile canınızı sıkıyor başka cihaz kullanamıyorsunuz.|1
Ürünü aldım kargolamada sorun yok ürün çok güzel garantili faturası ile birlikte geldi internetten de garantisini onayladım 2 yıl garantili alacak arkadaşlar gönül rahatlığı ile alsın |1
almayı çok istediğim bi model ama satıcısı hepsi buradanin kendisi olduğu ürün alacağım uzun süredir takip ediyorum ve tedarikçi hiç bir firmaya güvenim yok ne  zaman tedarikçisi hepsi burada olursa ve fiyatta biraz daha iyileştirmeler yapılırsa ürünü zaman kaybetmeden alacağımı bildirmek isterim..|0
Çarşamba günü sipariş verdim Perşembe geldi kutunun içinde herşey var korkarak aldım ama gayet memnunum|1
İphonedan şaşma  aldık çok sevdik|1
Kalın sağlıcakla umarım tavsiyelerim kullanıcılara faydalı olur.|1
LAFI FAZLA UZATMIYORUM BU FİYATA ANDROİD CİHAZLAR VAR DİYİP ALIP SONRA İOSU MUMLA ARAYANLARDAN OLMAYIN.APPLE NASIL CİHAZ ÇIKARIRSA ÇIKARSIN SATIYOR.SERVİS MÜŞTERİ MEMNUNİYETİ , UYGULAMA OPTİMİZASYONU VE MALZEME KALİTESİ OLARAK PÜYASANIN TEK LİDERİ.BU FİYATA BAŞKA CİHAZ BAKIP MACERAYA GEREK YOK.|1
sorunsuz|1
Gönül Rahatlığı ile Alabilirsiniz|1
süper bayıldım tavsiyede ederim hiç bir sorun olmadı ne telefonda ne de kulaklıka  birde en önemlisi güvenilir|1
küfür|0
Süper ürün paketleme gayet iyidi tskler|1
Ürün aldığım gün kargolandı.PTT kargoyu elime iki günde ulaştırdı.Telefondan çok memnunum.Şu ana kadar hiçbir sıkıntı yok.Kutu özenle hazırlanmıştı. Teşekkürler hepsiburada.|1
Kutunun içinde dönüştürücü çıkmadı ilan sahibinin benim ile iletişime geçmesini istiyorum bunun dışında bir sorunum yok.|1
Kargo çok yavaş 2 hafta sonra geliyor. Kargonun düzeltilmesini isterim. Yinede her şeyi çok iyi. (kargo hariç). Sinir bozucu olabiliyor|0
Ürün gayet güzel bildiğiniz iphone işte 1 günde elime ulaştı hepsiburada yanıltmadı beni herzmanki gibi|1
Paketleme gayet iyiydi sağlam geldi memnun kaldım|1
Kullandığım 7 Plus pert olduğu için 2nci ye aldım, daha ilk aldığımın içinden kulaklık dönüştürücüsü çıkmıştı. bundan çıkmadı, suan için sorun yok.|1
fiyat halen yuksek 32 gb cunku 3 bin e duserse almayi dusunurum 7plus super telefon|1
Telefonu 5 gündür kullanıyorum, hiçbir sorunla karşılaşmadım. Kargo söylenen sürede geldi. Telefonu internetten alıyorum diye tereddütlerim vardı, ama yersiz olduğu ortaya çıktı, satıcıya teşekkür ederim.|1
Kağıt üzerinde özellikleri çok çok daha üstün diye android yazılımlı bir telefona geçtim iphone dan aman sakın ios işletim sisteminden şaşmayın çok yavaş geliyor android iosdan sonra apple sadece isimden ibaret değil gerçekten.|1
Ürün İphone zaten ama kargo berbat, 1 haftada yurtdışına gidecek ürün kendi sınırlarımız içinde ancak elimize ulaşıyor. İnternet alışverişinin bir cazibesi kalmıyor.Sorsanız bütün kargolar 1 günde ulaşır.|1
bildiğimiz iphone 7 plus 8 plus bana göre hiçbir farkı yok|1
Telefonu satın aldıktan sonra kurdaki artışı görünce iyi ki almışım dedim. Yıllardır android kullanan biri olarak işim gereği İPhone kullanımına alışmam gerekti. Alıştıktan sonra ise çok daha pratik ve kullanışlı olduğunu gördüm. Teşekkürler.|1
iPhone’un en güzel serilerinden biri 7 Plus. Silver renk ayrı bir hava vermiş telefona. Çok memnun kaldım. Fiyatı da piyasan 300 lira daha uygun aldık. Teşekkürler Hepsiburada|1
Ürünü Hepsiburada satıcısından aldım. Paketleme güzel yapılmıştı ürünü aldığımda hemen deneme fırsatım oldu çalışmayan ya da eksik çalışan bir bölüm bulunmuyor . Ayrıca telefonun imdi numarasını Apple sitesinden baktığımda orijinal ve iki yıl garantisi olduğu görülüyor. Şüphe edenler gönül rahatlığıyla alabilir teşekkürler hepsiburada☺️|1
Hepsiburada satıcı olarak gayet başarılı. Ürün çok güzel. Tavsiye ederim.|1
şimdilik bir sıkıntı yok 10numara  1haftadır sorumsuz garantili orjinal ürün ama tek dileğim satıcı kesinlikle HEPSİBURADA olsun gerisinde sıkıntı yok|1
Beklediğim tarihten daha önce PTT şubesine gelmişti daha fazla beklememek için gidip teslim aldım güzel paketlenmişti bir haftadır kullanıyorum şimdilik sorun yok gibi görünüyor tavsiye ederim|1
Bende yorumlara bakarak aldım gerçekten güzel dışarıya göre de uygun tavsiye ediyorum |1
gayet güzel tavsiye ederim|1
Satıcı hepsiburada idi ve söylenen saatte teslim edildi|1
Hepsıburada hızmet anlayısı muhtesem.urunu saat 18:00 de aldım ertesı gun hepsıexpress kargo ıle saat 10 da elımdeydı.hersey ıcın tesklerr hepsıburada|1
Hepsiburada satıcısından iPhone 7 Plus aldım ama kulaklık dönüştürücü yoktu başka bi sıkıntı olmadı ama o dönüştürücünün olmaması garibime gitti|1
Jelatinli orijinal paketiyle geliyor korunaklı paketlendi |1
Ürün türkiye garantili paketlemesi çok güzeldi çok tereddütle satın aldım yüksek tutarda ürün olduğu için kutusu falan mağazadan alır gibi üzerinin jelatinini ben açtım güvenilir ve tereddütsüz alabilirsiniz orjinal apple |1
İPhone 7 Plus golf siparişi verdim hepsiexpress kargodan toplam 15 saatte elime ulaştı jelatınlı çok güzel telefon memnunum tavsiye ederim Hepsiburada teşekkürler |1
Ürün hepsijet ile fazlasıyla hızlı geldi gece 1 de sipariş verdiğim ürün sabah 9 da elimdeydi.Hızlı kargo kaliteli ürün.|1
çok hızlı ve özenli kargo. memnuniyet 10/10. teşekkürler.|1
rezelat|0
beğenmedim|0
Telefon gayet iyi geldi kargo geç geliyor ayrıca dönüştürücü neden çıkmadı|1
beğenmedim|0
beğenmedim|0
beğenmedim|0
Hepsijet ile ertesi gün geldi.Sorunsuz güvenilir teşekkürler Hepsiburada :)|1
beğenmedim|0
Geçen hafta satın aldım, kargodan gecikmeli geldi, bunun dışında sorun yok, ürün orjinal ve mükemmel gönül rahatlığıyla alabilirsiniz, teşekkürler.|1
Bitti bitiyordan aldık özenle paketlenmiş sorunsuz aldık zaten telefonun kalitesine diyecek yok..|1
1 günde bugün öğlen elime ulaşması beni çok mutlu etti hepsi burada ailesine ve select isimli satıcıya çok teşekkür ediyorum ve başarılarının devamını diliyorum....|1
Select adlı satıcıdan aldım Kapalı kutu ve Adana’ya 1 günde geldi |1
İos işletim sistemi her zaman iyidir ama eksik yönleri çok kişiselleştiremiyorsunuz veri transferi aynı cihaz olmadığı taktirde aktarım saglamıyor kamera iyi ama grenlenme çok oluyor kamera arayüzünde pro özellikleri yok müzik aktarmak için ise bilgisayara baglamanız gerekiyor ve iTunes e sürekli güncelleme geliyor ama yüklemek istediğinizde ise hata veriyor tekrarlamak gerekiyor oda zamanınızı çalıyor yani istediğiniz gibi kullanım sağlamıyor ben Android de ise stok kamera bile kullanabiliyorum İos ta atıyorum fotograf düzenleyici yüklemek bile paralı ve aşırı pahalı kısacası İos androidden akıcı ama o aradaki mesafe kalktı eskisi gibi degil ve iPhone aşırı pahalı araba fiyatına iPhone alıyoruz diyeceklerim bunlar|1
yanlışlıkla üç yıldız vermişim ama gelecek bizde ekibi 5 yıldızlık|1
Sipariş verdikten bir gün sonra elime ulaştı. Kapalı kutu ve Apple Türkiye garantili. Boşuna mağazalardan alıp 300 400 lira fazla vermeye gerek yok. Fiyatı çok iyi. Telefonu zaten anlatmaya gerek yok.|1
Telefonum Kırıldı kargoya verirmisiniz hemen lütfennnnn|1
Merhabalar, telefonu yaklaşık bir haftadır kullanıyorum. Yılan gibi akıyor. Telefonu anlatmaya gerek yok incelemeleri, performansı zaten biliniyor. 2019 yılında bile çok güncel ve çok hızlı. Kamerası olay, çok iyi çekiyor. En ağır oyunları kasmadan oynatıyor. Pubg, Asphalt 9 ve diğerleri. 32 GB yeterli. Hızlı şarj olmaması kötü. Gold rengini aldım memnunum. |1
Paketleme + teslimat + hız süper. Teşekkürler tereddütsüz alabilirsiniz ????|1
2 haftadır kullanıyorum bittibitiyor satıcısından aldım sorunsuz ve hızlı bir şekilde geldi paketleme biraz daha özenli yapılabilirdi onun dışında gönül rahatlığıyla alabilirsiniz|1
Kafaniz rahat alin|1
rezelat|0
beğenmedim|0
Bittibitiyor dan aldım kargo günü tesliminden 1 gün önce geldi telefon kutusunda hafif ezilmeler vardı ama bu problem değil benim için telefon kusursuz çalışıyor almak isteyecekler tereddüt etmeden alsın bu fiyat normal mağazalara oranla çok iyii |1
Ürünü bittibitiyor satıcısından temin ettim,hepsiexpres anlaşmalı olduğu için tam zamanında sağlam bir şekilde tarafıma teslim edildi.Apple Türkiye garantili, garantisi teli kurunca başladı bir sıkıntı yok.Telefonda da bir sıkıntı yok gayet akıcı 6s sen geçiş yaptım memnunum.İlgili satıcıyı  tavsiye ederim.En uygun fiyat da Hepsiburada’da|1
Ürün 2 günde hasarsız elime ulaştı|1
TELEFONU ANLATMAYA GEREK YOK SANIRIM PİYASADAN DAHA UYGUN FİYATA HİÇ TERDDÜT ETMEDEN ALABİLİRSİNİZ.BU 3.TELEFONUM HEPSİBURADADAN 2 TANESİ 8 PLUSTU HERHANGİ Bİ SIKINTI YAŞAMADIM GERÇEKTEN TEŞEKKÜR EDERİM..BittiBitiyor SATICISINA AYRICA TEŞEKKÜR EDİYORUM SALI GÜNÜ 16:03 SİPARİŞ VERDİM ÇARŞAMBA GÜNÜ 11:00 TELEFONUM ELİMDEYDİ ÇOK HIZLI VE SORUNSUZ Bİ ALIŞVERİŞ OLDU ÇOK TEŞEKKÜR EDERİM..|1
Müthiş telefon 2019 yılındayız geçişleri inanılmaz bu arada sıkıntısız bir şekilde geliyor |1
Bitti bitiyor a teşekkür ediyorum hızlı gönderi bu arada sıkıntı olmasın sıfır kontrol ettim sim kartı taktıktan sonra başladı muhteşem bir telefon günümüzde yüksek fiyatlar olduğu için bence müthiş bir telefon tavsiye ederim |1
teşekkürler orjinal ürün ithalat kayıtlı ambalaj kargo kusursuz hayırlı kazançlar dilerim|1
Hızlı gönderi. Sorunsuz elime ulaştı. Teşekkurler|1
Piyasadaki en uygun ve en orjinali orjinal iphone olduğu çok belli kargo olarak pıt pıta sarılmış ve asla kırılmazdı zaten çok teşekkürlerrr|1
Gönderi hızlıydı , ürün kusursuz korumayla gönderildi teşekkürler|1
Sorunsuz bir şekilde tarafıma ulaştı.|1
Hızlı gönderim teşekkürler. Kulaklık jakı adaptörü içerisinde yoktu onu anlayamadım satıcının irtibata geçmesini rica ediyorum|1
Ürünü akşam saat 19.00 da hızlı sipariş seçeneği ile sipariş ettim. saat aralığını 11.00-13.00 olarak işaretledim. Ertesi gün saat 10.15 de siparişim kapımdaydı. Paketleme özenli olarak yapılmış ve ürün içerisinde eksik malzeme yoktu. Satıcısı hepsi burada olarak satın aldım ve güvenilir olduğunu bir kaç arkadaşımda söyledi. Gerçekten güvenilir sizlere öneririm. İmkanınız varsa satıcı kısmı hepsi burada bir yazan ürünü alın.|1
çabuk geldi. Sorun yok.|1
kargo biraz gecikti ama ürün orjinal ve iyi paketlenmiş|1
İçerisinde Yok|1
Ürün fiyat olarak alabileceğiniz en düşük şuan için bütün internet satışı yapan firmalarda araştırdım.Ürünü daha kontrol edemedim Fakat Ptt  kargo rezilliği had safhada .Kargo hariç bir sıkıntı çıkacağını düşünmüyorum.|1
Telefonu almadan önce tereddütte kalmıştım. Elime ulaştığında öncelikle garantisini sorgulattım ve sitede yazıldığı gibi çıktı. Telefonumdan çok memnunum. Almayı düşünenler varsa tereddütsüz alabilirler. Teşekkürler Hepsiburada ekibi. |1
Başarılı bir ürün, fiyat düşmüş yeni model çıkınca.|1
TR 2 yıl Aplle garantili.|1
2 gün içinde elime ulaştı. Kargolama çok iyiydi hiçbir şekilde zedelenmeyecek biçimde paketlemişler. İnşallah kullanırken sıkıntı çıkmaz.|1
Bir günde ürün elime ulaştı, paketleme çok iyi, hepsiexpres e teşekkürler harikasınız.|1
Üründe kulaklık çevirici çıkmıyor artık bilginiz olsun. Bu fiyata süper ürün  tr garantili teşekkürler sar elektronik|1
Yaklaşık 1 sene öne aldığım telefonumdan ciddi anlamda çok memnun kaldım . Hala şarjı 1 dolum bütün gün yetiyor. Tavsiye ederim.|1
Ürün belirtildiği gibi Apple Türkiye garantisi altındadır, gönul rahatlığı ile alabilirsiniz.|1
Bence başarılı ????|1
rezelat|0
beğenmedim|0
çok güzel tavsiye ederim parasını tamamen hakediyor |1
Hepsiburada.com ürünü çok iyi paketlemiş, planlanan tarihte kuryeyle sorunsuz geldi, tavsiye ediyorum|1
Gece sipariş verdim sabah geldi keşke tüm ürünleri Hepsiexpress getirse boşa bu kargocularada para kaptırmamış olurlar zaten telefona diyecek söz yok efsane|1
Çeyrek Fiyatını bile hak etmiyor bu sitede en uygun olsa bile. Telefonda yapılabilecek aktivite çok az, zaten çok bir şey yapmıyorum diyorsanız da başka bişeye bakabilirsiniz sanırım.|0
Ürün orijinal, sadece ben biraz ısınma sorunu yasıyorum onun dısında her sey guzel.|1
Cihazı dün sipariş ettim 1 günde elime ulaştı hızlı kargo için teşekkürler. Siparişi oluşturmadan önce tereddütlerim vardı cihaz orjinaldir güvenlikle alabilirsiniz hepsiburada'ya teşekkürler ...|1
1 gün sonra çok iyi paketlenmiş şekilde elime ulaştı.|1
Olması gerektiği gibi , teşekkürler|1
Güzel ??|1
Ürün çok iyi tavsiye ederim güvenerek aldım.|1
Çok teşekkür ediyorum |1
bu paraya beş para etmez yazık|0
iyi|0
rezelat|0
beğenmedim|0
Teşekkür ederiz.|1
berbat|0
vasat|0
argo normal hızda geldi ama telefon zarar görmeyecek şekilde paketlemişler. güzel telefon adeta tasarım harikası|1
ürün tam zamanında elime ulaştı sorunsuz bir alışveriş oldu tavsiye ederim|1
Herkes hızlı yazmış ama beklediğimden yavaş|1
Ürün güzel, paketleme iyi fakat ürün elime 5 günde ulaştı.|0
İki ay oldu buradan alalı ve hiç bir sorun yok telefonumda, kesinlikle alcaksanız öneririm|1
